time,board,price,rate,quantity,volume,market,origin,tradeStatus,nemotecnico,fecha_dia
11:46,RTES,91.123,13.51,9000000000,8334342000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT11240135,2026-03-11
12:23,RTES,91.146,13.505,50000000000,46313400000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT11240135,2026-03-11
12:23,RTES,91.146,13.505,50000000000,46313400000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT11240135,2026-03-11
12:23,RTES,91.146,13.505,100000000000,92626800000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT11240135,2026-03-11
12:36,RTES,90.796,13.58,80000000000,73821440000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT11240135,2026-03-11
12:40,RTES,90.703,13.6,80000000000,73747040000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT11240135,2026-03-11
09:18,RTES,92.449,13.83,1500000000,1477597500,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
09:30,RTES,92.078,13.98,1500000000,1472032500,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
11:09,RTES,92.375,13.86,41000000000,40357325000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
11:16,RTES,92.412,13.845,30000000000,29540850000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
11:16,RTES,92.362,13.865,1000000000,984195000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
11:39,RTES,92.313,13.885,11000000000,10820755000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
11:53,RTES,92.449,13.83,50000000000,49253250000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
12:14,RTES,92.276,13.9,5000000000,4916675000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
12:30,RTES,92.3,13.89,50000000000,49178750000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
12:33,RTES,92.293,13.893,50000000000,49175250000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
12:36,RTES,92.362,13.865,6000000000,5905170000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
